Monark,Fødselsdato,Fødselsdato_Sikker,Dødsdato,Dødsdato_Sikker,Regerings_Start_,Regerings_Slut
Gorm_den_Gammle,NA,Usikker,958,Usikker,NA,958
Harald_Blåtand,NA,Usikker,987,Usikker,958,987
Svend_Tveskæg,NA,Usikker,1014,Usikker,987,1014
Harald_II,NA,Usikker,1018,Sikker,1014,1018
Knud_den_Store,995,Usikker,1035,Sikker,1018,1035
Hardeknud,1020,Sikker,1042,Sikker,1035,1042
Magnus_den_Gode,1024,Sikker,1047,Sikker,1042,1047
Svend_II_Estridsen,NA,Usikker,1076,Sikker,1047,1074
Harald_III_Hen,NA,Usikker,1080,Sikker,1074,1080
Knud_II_den_Hellige,NA,Usikker,1086,Sikker,1080,1086
Oluf_I_Hunger,NA,Usikker,1095,Sikker,1086,1095
Erik_I_Ejegod,1056,Usikker,1103,Sikker,1095,1103
Niels,NA,Usikker,1134,Sikker,1104,1134
Erik_II_Emune,NA,Usikker,1137,Sikker,1134,1137
Erik_III_Lam,NA,Usikker,1146,Sikker,1137,1146
"Svend_III,_Knud_III_Valdemar_I",NA,Usikker,NA,Usikker,1146,1157
Valdemar_den_Store,1131,Sikker,1182,Sikker,1157,1182
Knud_VI,1163,Sikker,1202,Sikker,1182,1202
Valdemar_II_Sejr,1170,Sikker,1241,Sikker,1202,1241
Erik_IV_Plovpenning,1216,Sikker,1250,Sikker,1241,1250
Abel,1218,Usikker,1252,Sikker,1250,1252
Cristoffer_I,1219,Usikker,1259,Sikker,1252,1259
Erik_V_Klipping,1249,Sikker,1286,Sikker,1259,1286
Erik_VI_Menved,1274,Sikker,1319,Sikker,1286,1319
Cristoffer_II,1276,Usikker,1332,Sikker,1320,1326
Valdemar_III,1314,Usikker,1330,Sikker,1326,1330
Cristoffer_II,1276,Usikker,1332,Sikker,1330,1332
Interregnum,NA,Usikker,NA,Usikker,1332,1340
Valdemar_IV_Atterdag,1320,Usikker,1375,Sikker,1340,1375
Oluf_II,1370,Sikker,1387,Sikker,1376,1387
Margrete_I,1353,Sikker,1412,Sikker,1387,1412
Erik_VII_af_Pommern,1382,Usikker,1459,Sikker,1412,1439
Christoffer_III_af_Bayern,1416,Sikker,1448,Sikker,1440,1448
Christian_I,1426,Sikker,1481,Sikker,1448,1481
Hans,1455,Sikker,1513,Sikker,1481,1513
Christian_II,1481,Sikker,1559,Sikker,1513,1523
Frederik_I,1471,Sikker,1533,Sikker,1523,1533
Interregnum,NA,Usikker,NA,Usikker,1533,1534
Christian_III,1503,Sikker,1559,Sikker,1534,1559
Frederik_II,1534,Sikker,1588,Sikker,1559,1588
Christian_IV,1577,Sikker,1648,Sikker,1588,1648
Frederik_III,1609,Sikker,1670,Sikker,1648,1670
Christian_V,1646,Sikker,1699,Sikker,1670,1699
Frederik_IV,1671,Sikker,1730,Sikker,1699,1730
Christian_VI,1699,Sikker,1746,Sikker,1730,1746
Frederik_V,1723,Sikker,1766,Sikker,1746,1766
Christian_VII,1749,Sikker,1808,Sikker,1766,1808
Frederik_VI,1768,Sikker,1839,Sikker,1808,1839
Christian_VIII,1786,Sikker,1848,Sikker,1839,1848
Frederik_VII,1808,Sikker,1863,Sikker,1848,1863
Christian_IX,1818,Sikker,1906,Sikker,1863,1906
Frederik_VIII,1843,Sikker,1912,Sikker,1906,1912
Christian_X,1870,Sikker,1947,Sikker,1912,1947
Frederik_IX,1899,Sikker,1972,Sikker,1947,1972
Margrethe_II,1940,Sikker,NA,Usikker,1972,2024
Frederik_X,1968,Sikker,NA,Usikker,2024,NA
